stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,on_demand
stop_1486_372429,416-2t,"Krowodrza Górka P+R","02",50.088752,19.93274,1,,0,,,,,0
stop_1486_372439,416-3t,"Krowodrza Górka P+R","03",50.089389,19.93163,1,,0,,,,,0
stop_1487_373619,824-1t,"UJ / AST","01",50.060269,19.93052,1,,0,,,,,0
stop_1487_373629,824-2t,"UJ / AST","02",50.060366,19.931732,1,,0,,,,,0
stop_1488_3319,424-1t,"Siewna Wiadukt","01",50.09583,19.94816,1,,0,,,,,0
stop_1488_3329,424-2t,"Siewna Wiadukt","02",50.09599,19.94751,1,,0,,,,,0
stop_1489_127119,781-1t,"Białoprądnicka","01",50.09499,19.93486,1,,0,,,,,0
stop_1489_127129,781-2t,"Białoprądnicka","02",50.09485,19.9352,1,,0,,,,,0
stop_1490_366219,998-1t,"Górnickiego","01",50.09598,19.94142,1,,0,,,,,0
stop_1490_366229,998-2t,"Górnickiego","02",50.09617,19.94202,1,,0,,,,,0
stop_1491_372319,410-1t,"Pachońskiego P+R","01",50.09416,19.92983,1,,0,,,,,0
stop_1491_372329,410-2t,"Pachońskiego P+R","02",50.09379,19.93005,1,,0,,,,,0
stop_1492_372619,448-1t,"Kuźnicy Kołłątajowskiej","01",50.09801,19.9561,1,,0,,,,,0
stop_1492_372629,448-2t,"Kuźnicy Kołłątajowskiej","02",50.09766,19.95603,1,,0,,,,,0
stop_1493_373019,421-1t,"Bociana","01",50.09505,19.95446,1,,0,,,,,0
stop_1493_373029,421-2t,"Bociana","02",50.09514,19.95394,1,,0,,,,,0
stop_1494_373119,907-1t,"Papierni Prądnickich","01",50.1019,19.95743,1,,0,,,,,0
stop_1494_373129,907-2t,"Papierni Prądnickich","02",50.10163,19.9573,1,,0,,,,,0
stop_1495_373519,798-1t,"Muzeum Lotnictwa Polskiego","01",50.07352,19.990472,1,,0,,,,,0
stop_1495_373529,798-2t,"Muzeum Lotnictwa Polskiego","02",50.073539,19.990254,1,,0,,,,,0
stop_1552_378519,434-1t,"Górka Narodowa P+R","01",50.104864,19.96247,1,,0,,,,,0
stop_1554_380819,356-1t,"UKEN","01",50.074123,19.910791,1,,0,,,,,0
stop_1554_380829,356-2t,"UKEN","02",50.07426,19.909991,1,,0,,,,,0
stop_1556_381019,885-1t,"Ogród Doświadczeń","01",50.065658,19.997488,1,,0,,,,,0
stop_1556_381029,885-2t,"Ogród Doświadczeń","02",50.065502,19.996324,1,,0,,,,,0
